respondent_id,pile_name,n_items_in_pile,items
R001,Positive Effects,10,protection from disease; immunity; health; prevention; safety; life saving; herd immunity; protect vulnerable; scientific progress; community protection
R001,Risks,10,side effects; headache; fever; allergy; danger; risk; long-term effects; unknown; DNA risk; unknown risks
R001,Political Control,6,state control; mandate; coercion; authoritarianism; oppression; distrust
R001,Economic Interests,7,pharma companies; profit; economic interests; monopoly; financial interests; corruption; lobbying
R001,Natural Alternatives,8,natural immunity; past infection; nature; naturalness; biology; immune system; biotechnology; new technology
R002,Positive Effects,10,protection from disease; immunity; health; prevention; safety; life saving; herd immunity; protect vulnerable; scientific progress; community protection
R002,Risks,10,side effects; headache; fever; allergy; danger; risk; long-term effects; unknown; DNA risk; unknown risks
R002,Political Control,6,state control; mandate; coercion; authoritarianism; oppression; distrust
R002,Economic Interests,7,pharma companies; profit; economic interests; monopoly; financial interests; corruption; lobbying
R002,Natural Alternatives,8,natural immunity; past infection; nature; naturalness; biology; immune system; biotechnology; new technology
R003,Positive Effects,10,protection from disease; immunity; health; prevention; safety; life saving; herd immunity; protect vulnerable; scientific progress; community protection
R003,Risks,10,side effects; headache; fever; allergy; danger; risk; long-term effects; unknown; DNA risk; unknown risks
R003,Political Control,6,state control; mandate; coercion; authoritarianism; oppression; distrust
R003,Economic Interests,7,pharma companies; profit; economic interests; monopoly; financial interests; corruption; lobbying
R003,Natural Alternatives,8,natural immunity; past infection; nature; naturalness; biology; immune system; biotechnology; new technology
R004,Positive Effects,10,protection from disease; immunity; health; prevention; safety; life saving; herd immunity; protect vulnerable; scientific progress; community protection
R004,Risks,10,side effects; headache; fever; allergy; danger; risk; long-term effects; unknown; DNA risk; unknown risks
R004,Political Control,6,state control; mandate; coercion; authoritarianism; oppression; distrust
R004,Economic Interests,7,pharma companies; profit; economic interests; monopoly; financial interests; corruption; lobbying
R004,Natural Alternatives,8,natural immunity; past infection; nature; naturalness; biology; immune system; biotechnology; new technology
